Florida Fish And Wildlife Conservation Commission
Commercial Landings Summary
Years: 1986 - 2017
"Species: OYSTERS"
Subject to Revision
Years before 2016 are final
"Report created: January 25, 2017"


Year,Area Description,Species,Pounds,Trips,Average Price,Estimated Value,
2015,APALACHEE BAY,OYSTERS,391863,11792,5.57,2181523,
2015,CRYSTAL RIVER-TARPON SPRINGS,OYSTERS,2412,39,6.10,14700,
2015,FORT MYERS,OYSTERS,287,9,5.11,1469,
2015,Out-of-State,OYSTERS,315215,10280,5.55,1749660,
2015,PANAMA CITY,OYSTERS,141580,2551,5.74,812199,
2015,PENSACOLA,OYSTERS,1179,40,4.61,5438,
2015,ST. AUGUSTINE,OYSTERS,48912,1441,4.97,243126,
2016,APALACHEE BAY,OYSTERS,301632,8476,6.01,1812632,
2016,CRYSTAL RIVER-TARPON SPRINGS,OYSTERS,24,1,5.03,119,
2016,DESTIN,OYSTERS,66,1,5.33,350,
2016,FORT MYERS,OYSTERS,858,17,6.61,5673,
2016,Out-of-State,OYSTERS,178742,4669,5.71,1021273,
2016,PANAMA CITY,OYSTERS,97223,2121,5.68,552305,
2016,PENSACOLA,OYSTERS,1756,50,4.38,7696,
2016,ST. AUGUSTINE,OYSTERS,26395,684,5.07,133828,
